StartTime,Direction,TalkingDuration,Answered,CallType,CallID,Status,To
2026-05-26T15:35:59.891623+07:00,Inbound Queue,PT2.401144S,True,Queue,1,Waiting,8196
2026-05-26T15:36:00.67961+07:00,Inbound,PT31.985518S,True,Extension,1,Answered,0114
2026-05-26T15:36:34.289678+07:00,Inbound Queue,PT3.493285S,True,Queue,1,Waiting,8048
2026-05-26T15:39:37.458659+07:00,Inbound,PT12.046303S,True,Digital Receptionist,1,Answered,8439
2026-05-26T15:39:49.716087+07:00,Inbound Queue,PT3.042779S,True,Queue,1,Waiting,8196
2026-05-26T15:39:49.833189+07:00,Inbound,PT23.813067S,True,Extension,1,Answered,0112
2026-05-26T15:40:44.604944+07:00,Inbound,PT12.023326S,True,Digital Receptionist,1,Answered,8439
2026-05-26T15:40:56.665888+07:00,Inbound Queue,PT2.602446S,True,Queue,1,Waiting,8196
2026-05-26T15:40:57.290668+07:00,Inbound,PT5M38.189063S,True,Extension,1,Answered,0114
2026-05-26T15:57:15.893801+07:00,Inbound,PT12.047108S,True,Digital Receptionist,1,Answered,8439
2026-05-26T15:57:27.995939+07:00,Inbound Queue,PT4.26609S,True,Queue,1,Waiting,8196
2026-05-26T15:57:28.714877+07:00,Inbound,PT1M45.979842S,True,Extension,1,Answered,0112
2026-05-26T16:10:10.135191+07:00,Inbound,PT12.067385S,True,Digital Receptionist,1,Answered,8439
2026-05-26T16:10:19.185881+07:00,Inbound,PT12.06326S,True,Digital Receptionist,1,Answered,8439
2026-05-26T16:10:22.303028+07:00,Inbound Queue,PT2.585352S,True,Queue,1,Waiting,8196
2026-05-26T16:10:22.953053+07:00,Inbound,PT2M27.357253S,True,Extension,1,Answered,0114
2026-05-26T16:10:31.349913+07:00,Inbound Queue,PT2.479075S,True,Queue,1,Waiting,8196
2026-05-26T16:10:32.060392+07:00,Inbound,PT4M8.920468S,True,Extension,1,Answered,0112
2026-05-26T16:19:26.907458+07:00,Inbound,PT12.054074S,True,Digital Receptionist,1,Answered,8439
2026-05-26T16:19:39.175778+07:00,Inbound Queue,PT4.146159S,True,Queue,1,Waiting,8196
2026-05-26T16:19:39.787054+07:00,Inbound,PT40.024299S,True,Extension,1,Answered,0114
2026-05-26T16:20:23.337372+07:00,Inbound Queue,PT3.487942S,True,Queue,1,Waiting,8048
2026-05-26T16:20:40.200435+07:00,Internal,PT3.122272S,True,System,1,Answered,*31
2026-05-26T16:33:07.558643+07:00,Inbound,PT11.973345S,True,Digital Receptionist,1,Answered,8439
2026-05-26T16:33:19.59745+07:00,Inbound Queue,PT4.996568S,True,Queue,1,Waiting,8196
2026-05-26T16:33:20.237548+07:00,Inbound,PT5M29.445742S,True,Extension,1,Answered,0112
